=== BẮT ĐẦU QUÉT BẢO MẬT SEOSONA VIDEO ===
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\llm-engineer-handbook.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern 'AKIA[0-9A-Z]{16}' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\marketing-kit.md
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: 2_KNOWLEDGE\repos\microsoft_ai-agents-for-beginners.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\most-capable-agent-system-prompt.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\nosship.md
[CẢNH BÁO] Phát hiện pattern 'ignore\s+(all\s+)?previous\s+instructions' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern 'you\s+are\s+now' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern 'AKIA[0-9A-Z]{16}' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: 2_KNOWLEDGE\repos\open-design.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\Piebald-AI_claude-code-system-prompts.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\QwenLM_qwen-code.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\skill-autoshorts.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\system_prompts_leaks.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\TinyAGI_tinyclaw.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 2_KNOWLEDGE\repos\zeroleaks.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 2_SKILLS\carousel_maker\carousel_generator.py
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 2_SKILLS\metadata_extractor\extractor.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\all_github_repos.txt
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\relevant_repos_for_seosona.txt
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\cli.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\app\services\llm.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\test\services\test_llm.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\Main.py
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\de.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\en.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\es.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\ru.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\tr.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\vi.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos\MoneyPrinterTurbo\webui\i18n\zh.json
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\claude_bp_repo\claude_cli_startup_flags.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\frameworks\hermes_agent\agents.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\frameworks\hermes_agent\contributing.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\frameworks\hermes_agent\release_v020.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\frameworks\hermes_agent\release_v030.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\frameworks\hermes_agent\release_v040.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\act_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agency-agents_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agency-agents_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agency-agents_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agency-agents_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent-skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent-skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent-skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent-trade-kit_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agentscope_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agentscope_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agentscope_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agentscope_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agentskills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agents_1_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agents_1_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agents_1_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_config_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_config_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skills_integrator_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skill_creator_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skill_creator_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_skill_creator_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\agent_teams_lite_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aider_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aider_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aider_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aider_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\airllm_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\ai_marketing_claude_code_skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\ai_ml_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\ampcode-connector_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\ampcode-connector_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'ignore\s+(all\s+)?previous\s+instructions' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'you\s+are\s+now' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'wget\s+http' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'AKIA[0-9A-Z]{16}' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9\.' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Anthropic-Cybersecurity-Skills_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\antigravity_kit_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\antigravity_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\antigravity_manager_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\antigravity_manager_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\antigravity_mobile_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'ignore\s+(all\s+)?previous\s+instructions' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'SELECT\s+.*WHERE\s+.*\+\s*\w+' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\aperant_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\atomic_chat_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\atomic_chat_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\atomic_chat_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\atomic_chat_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'you\s+are\s+now' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'wget\s+http' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\autogen_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'ignore\s+(all\s+)?previous\s+instructions' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'rm\s+-rf\s+/' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\beval\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\binnerHTML\s*=' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'SELECT\s+.*WHERE\s+.*\+\s*\w+' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\auto_claude_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\ava_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\awesome-mcp-servers_knowledge.md
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\awesome-mcp-servers_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Awesome-Prompt-Engineering_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'curl\s+-X' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Awesome-Prompt-Engineering_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Awesome-Prompt-Engineering_knowledge.md
[CẢNH BÁO] Zero-width characters (ASCII Smuggling) trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\Awesome-Prompt-Engineering_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\awesome_openclaw_agents_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\backend_architect_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\bridge_commander_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\channel_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\chart_testing_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\chatdev_agent_knowledge.md
[CẢNH BÁO] Phát hiện pattern 'system\s+prompt' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\claude-octopus_knowledge.md
[CẢNH BÁO] Phát hiện pattern '\bexec\s*\(' trong file: 3_MEMORY\raw_data\repos_daemon\LongLeo287_OmniClaw\brain\knowledge\general\claude-octopus_knowledge.md
